# Confirmed-good M12 DXMT runtime material from a24464357fc0cb09ba794330d89d7dd6df9e2140.
# Paths are relative to the dxmt_m12 runtime lane root.
path	sha256
x86_64-windows/d3d10core.dll	e6647486489473800a85e5ca8dff94e0beec63847138c72d9145297dd97de3c1
x86_64-windows/d3d11.dll	04f7573de3bdb6953b3df3b4521b8e8c9de2c1d81f62924eec4c9a0f1761471f
x86_64-windows/d3d12.dll	71b1defeb4ef0b6e7a2bda03f4699f77ed9ac8ebaecf0d93d84e258332083793
x86_64-windows/dxgi.dll	482ce5711966c24c994ec3939270518f3ebd45d76f50e8a0ae06f2233f13b300
x86_64-windows/dxgi_dxmt.dll	94c1d253e77f0b5a2a144e170b43d6256bf663a331598352e29c9cfff16e08ec
x86_64-windows/winemetal.dll	22b90526bd5f9f4cf87770549415d81d5098a3e73a32268c735d95cc2cf3e002
x86_64-windows/nvapi64.dll	5254ddf867b89e77b2b341a56541112d0fadd106714c0a6280a07c3a17b3f4e0
x86_64-windows/nvngx.dll	322bb63e93b83aa0585a6b8ba7dd5cc73f895cfea0a31b210aa50bac1b09375b
x86_64-unix/winemetal.so	031dd0030ca0f188fb9d872e9d755a1ea704b97c292ce258cfd376cff92e498b
x86_64-unix/libc++.1.dylib	3f0da0b4025c6fb5e50fc23c8a1feea67c839b40df93baff3b2781089b42ad35
x86_64-unix/libc++abi.1.dylib	9a95b4ce2be40951b688c394db99f79b7e0b81fa2372e5e49615319869e72e49
x86_64-unix/libunwind.1.dylib	964d4e5d6242163e4e8099efd08ba75540f253257b834bf5b7a45f8c84b4ea78
